age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
20,Private,368852,10,Non-Married,Other,Non-Husband,White,Female,0,0,20,US,0
22,Private,214635,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,42,US,0
25,Private,254746,11,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
28,Private,363257,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,50,US,0
37,Private,144005,10,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
26,Private,192652,13,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
29,Non-Private,124953,11,Married,Other,Husband,White,Male,0,0,42,US,1
31,Non-Private,286282,13,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,20,US,0
23,Private,123983,11,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,40,US,0
29,Private,183639,9,Married,Other,Husband,White,Male,0,0,97,US,0
47,Private,54260,7,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
44,Private,69236,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,40,Non-US,0
26,Non-Private,163189,10,Married,Other,Non-Husband,White,Male,0,0,40,US,0
60,Private,199085,6,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
37,Private,117381,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
34,Non-Private,173201,14,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,50,Non-US,0
49,Non-Private,420282,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
66,Private,22502,4,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,Non-US,0
54,Non-Private,183668,3,Married,Other,Husband,White,Male,0,0,55,US,0
38,Non-Private,261382,10,Married,Other,Husband,White,Male,0,0,40,US,0
42,Non-Private,70655,9,Married,Other,Husband,White,Male,0,0,44,US,0
56,Non-Private,216851,13,Married,Other,Husband,White,Male,0,0,40,US,1
40,Private,137304,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
26,Private,111058,13,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
21,Private,138816,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,20,US,0
33,Private,231822,6,Non-Married,Other,Non-Husband,White,Female,0,0,38,US,0
41,Private,207335,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,45,US,1
42,Private,192014,5,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,24,US,0
41,Non-Private,97064,11,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,44,US,0
40,Non-Private,406463,14,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
43,Non-Private,48087,9,Married,Other,Husband,White,Male,0,0,40,US,0
56,Private,219762,9,Married,Other,Non-Husband,White,Female,0,0,35,US,0
38,Non-Private,349951,9,Married,Other,Husband,White,Male,4508,0,55,US,0
40,Private,226608,10,Non-Married,Other,Non-Husband,White,Male,0,0,30,Non-US,1
43,Non-Private,265698,13,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,45,US,1
22,Private,173736,9,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
32,Non-Private,203408,9,Married,Other,Husband,White,Male,0,0,44,US,0
39,Private,75995,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,45,US,0
41,Private,193882,9,Married,Managerial-Specialist,Husband,White,Male,15024,0,65,US,1
26,Private,206721,13,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
54,Private,320012,10,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
21,Private,275395,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
47,Private,101204,10,Married,Other,Husband,Non-White,Male,4064,0,40,US,0
43,Private,71738,10,Married,Other,Husband,White,Male,0,0,40,US,1
42,Private,204235,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
32,Private,288229,10,Married,Other,Non-Husband,Non-White,Female,0,0,40,Non-US,0
26,Private,206199,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,40,US,0
25,Private,207875,10,Non-Married,Other,Non-Husband,White,Male,0,0,20,US,0
34,Non-Private,250182,7,Married,Other,Husband,White,Male,0,0,60,US,0
34,Private,143083,11,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,18,US,0
18,Private,100863,8,Non-Married,Other,Non-Husband,White,Female,0,0,15,US,0
26,Private,201635,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
31,Private,145439,9,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,0
51,Non-Private,82504,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
26,Private,112847,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
18,Private,83492,4,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
43,Private,250802,10,Non-Married,Other,Non-Husband,White,Male,0,0,35,US,0
62,Private,88055,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
53,Non-Private,155314,9,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,1
63,Private,113324,10,Married,Other,Husband,White,Male,0,0,40,US,0
28,Private,194690,9,Married,Other,Husband,White,Male,0,0,40,US,0
46,Private,175262,12,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,Non-US,0
31,Private,177596,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,Non-US,0
22,Private,183594,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
42,Non-Private,116493,13,Married,Other,Husband,White,Male,0,0,52,US,0
39,Private,344743,10,Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,50,US,1
35,Private,185084,9,Married,Other,Husband,White,Male,0,0,48,US,1
25,Non-Private,218184,13,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
41,Private,483201,13,Married,Other,Husband,White,Male,0,0,40,US,1
30,Private,169104,12,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,Non-US,0
44,Private,151089,14,Married,Managerial-Specialist,Husband,White,Male,0,1887,60,US,1
27,Private,173944,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,50,US,0
36,Private,298635,13,Married,Other,Husband,Non-White,Male,0,0,40,Non-US,1
32,Private,362259,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
28,Private,103389,14,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
37,Non-Private,48779,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
38,Non-Private,22245,9,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,0
71,Private,55965,4,Non-Married,Other,Non-Husband,White,Male,0,0,10,US,0
25,Private,132683,9,Non-Married,Other,Non-Husband,White,Female,0,0,50,US,0
46,Private,151584,13,Married,Other,Husband,White,Male,0,0,30,US,1
17,Private,152710,7,Non-Married,Other,Non-Husband,White,Female,0,0,20,US,0
34,Private,154548,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,38,US,0
61,Private,162432,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
20,Private,218068,10,Non-Married,Other,Non-Husband,White,Male,0,0,23,US,0
27,Private,30237,9,Married,Other,Non-Husband,White,Female,0,0,45,US,0
39,Private,247733,9,Non-Married,Other,Non-Husband,Non-White,Female,0,0,16,US,0
36,Private,86143,11,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
33,Private,198211,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
35,Private,161141,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
45,Private,216932,14,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
20,Private,72520,10,Non-Married,Other,Non-Husband,White,Male,0,0,30,US,0
33,Private,186993,13,Married,Managerial-Specialist,Husband,White,Male,0,0,51,US,0
45,Non-Private,208802,15,Non-Married,Managerial-Specialist,Non-Husband,White,Male,25236,0,36,US,1
27,Private,587310,12,Married,Other,Non-Husband,White,Male,0,0,40,Non-US,0
37,Private,22245,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,Non-US,0
34,Non-Private,179673,15,Married,Managerial-Specialist,Husband,White,Male,7688,0,60,US,1
48,Private,198000,10,Non-Married,Other,Non-Husband,White,Female,0,0,38,US,1
20,Private,161092,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
47,Non-Private,216414,16,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
45,Non-Private,319666,15,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,43,US,0
39,Private,201410,13,Married,Other,Husband,White,Male,0,1977,45,Non-US,1
59,Private,171015,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,34,US,0
24,Private,160261,14,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,20,Non-US,0
39,Private,141584,14,Non-Married,Other,Non-Husband,White,Male,0,2444,45,US,1
51,Non-Private,23698,9,Married,Other,Husband,White,Male,0,0,40,US,1
39,Private,56269,10,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
36,Private,111545,13,Married,Managerial-Specialist,Husband,White,Male,0,1902,40,US,1
18,Private,109928,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
37,Private,202683,10,Married,Other,Husband,White,Male,0,0,48,US,1
41,Private,327723,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
39,Non-Private,274683,10,Married,Other,Husband,White,Male,7688,0,50,US,1
26,Private,131686,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
63,Non-Private,99823,10,Married,Other,Husband,White,Male,0,0,32,US,0
49,Private,265295,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
45,Non-Private,230685,16,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
51,Non-Private,123011,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
32,Private,207937,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
48,Private,174794,11,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
53,Private,133219,9,Married,Other,Husband,Non-White,Male,4386,0,30,US,1
30,Non-Private,127610,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,35,US,0
34,Private,162544,4,Non-Married,Other,Non-Husband,White,Female,0,0,30,US,0
18,Private,265099,7,Non-Married,Other,Non-Husband,White,Female,0,0,16,US,0
59,Non-Private,75804,9,Married,Other,Husband,White,Male,0,0,65,US,1
60,Private,191188,9,Married,Other,Husband,White,Male,0,0,40,US,0
43,Private,76487,7,Married,Other,Husband,White,Male,0,0,40,US,0
40,Non-Private,50563,14,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,55,US,1
44,Non-Private,53956,10,Married,Other,Husband,White,Male,0,0,45,US,0
43,Non-Private,207578,16,Married,Managerial-Specialist,Husband,White,Male,0,0,42,US,1
40,Non-Private,108765,11,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
23,Private,292023,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,30,US,0
45,Non-Private,151584,15,Married,Managerial-Specialist,Husband,White,Male,0,0,35,US,1
38,Private,49020,9,Married,Other,Husband,White,Male,0,0,40,US,0
21,Private,341368,9,Non-Married,Other,Non-Husband,White,Male,0,0,20,US,0
34,Private,209297,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,2001,40,US,0
35,Private,253006,10,Married,Managerial-Specialist,Husband,White,Male,7688,0,38,US,1
32,Non-Private,360689,7,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
25,Non-Private,158033,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,65,US,0
40,Non-Private,231832,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
32,Private,183801,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
22,Private,117747,10,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,Non-US,0
44,Private,335223,9,Married,Other,Husband,White,Male,0,0,40,US,1
31,Non-Private,101345,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
60,Private,210064,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
19,Private,40425,10,Non-Married,Other,Non-Husband,White,Female,0,0,28,US,0
61,Non-Private,32423,9,Married,Other,Non-Husband,White,Female,22040,0,40,US,0
38,Private,203169,11,Married,Other,Husband,White,Male,0,0,50,US,1
54,Private,91882,9,Married,Other,Husband,White,Male,0,0,43,US,0
27,Private,32452,14,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,20,US,1
51,Private,293802,3,Married,Other,Husband,Non-White,Male,0,0,52,US,0
58,Non-Private,54566,10,Married,Other,Husband,White,Male,0,0,35,US,0
21,Private,228395,10,Non-Married,Other,Non-Husband,Non-White,Female,0,0,20,US,0
57,Non-Private,180211,15,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,50,Non-US,1
28,Private,119793,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
24,Private,166297,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,25,US,0
22,Private,56582,9,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
34,Private,179641,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,45,US,0
54,Non-Private,151580,13,Married,Other,Husband,White,Male,0,0,40,US,1
52,Non-Private,42984,15,Married,Managerial-Specialist,Husband,White,Male,0,0,70,US,1
42,Private,24982,10,Married,Other,Husband,White,Male,7688,0,40,US,1
34,Private,101345,9,Married,Other,Non-Husband,White,Female,0,0,40,US,1
26,Non-Private,221626,9,Married,Other,Non-Husband,White,Female,0,1579,20,US,0
22,Private,64520,8,Non-Married,Other,Non-Husband,White,Male,0,0,30,US,0
