age,two_year_recid,c_charge_degree,race,sex,priors_count,length_of_stay,score
63,0,F,Other,Male,2,3,1
42,0,M,Other,Male,1,-1,1
24,0,F,Other,Male,1,1,0
30,0,F,African-American,Male,1,21,0
29,1,F,Other,Male,6,0,0
22,0,F,African-American,Female,0,-1,0
24,0,F,Other,Male,1,10,1
35,1,F,African-American,Male,16,191,0
29,1,M,African-American,Male,1,0,1
35,0,F,Other,Male,3,1,1
31,0,F,African-American,Male,5,6,0
35,0,M,Other,Male,3,1,1
35,1,F,African-American,Female,12,0,0
32,1,F,Other,Male,3,-1,0
22,1,F,African-American,Male,1,0,0
42,1,F,African-American,Female,8,1,0
24,1,F,African-American,Male,0,22,1
51,0,F,African-American,Male,3,-1,0
28,0,M,African-American,Male,1,1,0
22,0,F,African-American,Male,1,0,0
25,0,F,African-American,Male,2,0,0
21,0,M,African-American,Male,0,0,0
42,0,F,African-American,Male,1,0,1
27,1,F,African-American,Male,9,0,0
36,1,M,African-American,Male,25,0,0
56,0,F,African-American,Male,16,0,0
25,1,M,African-American,Male,6,1,0
30,0,M,Other,Female,1,0,1
35,1,M,African-American,Male,1,1,0
21,1,F,African-American,Male,2,8,0
23,0,M,Other,Male,3,1,0
24,1,F,Other,Male,2,10,0
23,1,F,Other,Female,5,0,0
26,0,F,Other,Male,0,0,0
57,0,M,Other,Male,0,1,1
37,1,M,Other,Male,4,0,1
45,0,M,African-American,Male,2,28,0
25,1,F,African-American,Male,7,20,0
58,1,M,Other,Male,2,83,1
26,0,M,Other,Male,7,1,1
52,0,F,Other,Male,1,24,1
25,0,M,Other,Male,0,4,1
40,1,F,African-American,Female,15,65,0
34,0,M,African-American,Male,3,1,0
22,0,M,Other,Female,1,0,1
45,0,M,Other,Male,1,-1,1
25,0,F,Other,Female,0,1,1
22,1,F,African-American,Male,12,35,0
23,1,F,Other,Male,2,0,0
25,1,M,African-American,Male,0,-1,0
41,0,M,Other,Male,0,-1,1
25,0,F,African-American,Male,2,58,0
53,0,F,African-American,Female,0,0,1
30,0,F,African-American,Female,2,0,1
28,1,F,African-American,Male,0,15,1
23,1,M,African-American,Male,0,1,1
41,0,M,Other,Male,0,0,1
27,1,F,African-American,Male,0,3,0
27,1,F,African-American,Female,3,3,0
33,1,F,African-American,Male,2,-1,0
33,0,F,Other,Female,0,0,1
34,1,F,African-American,Male,7,0,0
44,0,F,African-American,Male,0,1,1
29,1,F,African-American,Male,5,2,0
21,0,F,African-American,Male,0,2,0
38,0,F,Other,Male,3,0,1
27,0,F,Other,Male,8,68,0
39,1,F,Other,Male,3,1,1
25,0,F,African-American,Male,0,0,0
35,0,F,Other,Male,13,4,0
24,0,M,African-American,Male,1,2,1
30,1,F,Other,Male,1,33,0
20,1,F,African-American,Female,1,1,0
56,1,F,African-American,Female,1,0,1
38,0,F,Other,Male,1,0,1
31,0,F,Other,Female,14,0,0
29,0,F,Other,Female,0,0,0
42,1,F,African-American,Female,17,8,0
35,0,F,Other,Male,2,13,1
26,1,F,African-American,Male,4,1,0
45,0,F,Other,Male,0,1,1
23,0,F,Other,Male,0,0,1
28,1,F,Other,Male,1,30,0
40,0,F,Other,Male,1,0,1
24,1,F,Other,Male,1,3,0
51,1,F,African-American,Male,9,35,0
45,1,F,Other,Male,0,1,0
30,1,F,African-American,Female,3,12,0
39,1,M,African-American,Male,19,0,0
26,0,M,African-American,Female,0,0,1
33,1,M,Other,Male,0,23,0
24,0,M,Other,Male,4,0,0
52,1,M,African-American,Male,3,31,1
25,1,F,African-American,Male,5,4,0
21,0,F,African-American,Female,1,4,0
27,0,M,Other,Female,0,1,1
25,1,F,Other,Male,10,7,0
35,1,M,African-American,Female,3,0,0
36,0,M,African-American,Male,4,2,0
34,0,F,African-American,Male,2,12,1
23,1,F,African-American,Male,2,1,1
23,1,F,African-American,Male,2,6,0
27,1,M,African-American,Male,0,0,1
37,0,F,African-American,Male,8,1,0
21,1,F,African-American,Female,0,1,0
49,0,M,Other,Male,1,0,1
24,0,F,African-American,Female,2,1,1
28,0,F,African-American,Male,7,1,0
28,0,F,Other,Male,2,49,1
39,0,M,African-American,Male,0,0,1
23,1,F,African-American,Male,1,1,1
33,0,M,African-American,Female,0,1,1
24,0,M,Other,Male,0,1,1
29,0,F,African-American,Female,0,0,1
40,0,F,African-American,Female,2,1,1
51,0,F,Other,Female,5,32,0
56,0,F,Other,Male,1,0,1
49,0,F,Other,Female,0,-1,1
39,0,F,Other,Male,2,18,1
22,1,M,Other,Male,3,0,1
49,0,F,African-American,Male,3,1,1
28,0,F,Other,Male,0,0,1
45,1,F,Other,Male,19,1,0
59,0,F,Other,Male,2,12,1
31,1,F,African-American,Male,1,-1,0
54,0,M,Other,Male,0,0,1
48,1,F,African-American,Male,8,11,0
37,1,F,Other,Male,11,1,0
42,0,F,African-American,Male,1,4,1
63,0,M,Other,Male,1,5,1
28,1,F,African-American,Male,9,16,1
38,0,F,Other,Male,0,1,1
49,1,M,Other,Female,2,0,1
52,1,M,African-American,Male,0,1,1
46,1,F,African-American,Male,2,64,0
32,0,M,African-American,Male,0,0,0
47,0,M,African-American,Female,4,0,0
23,1,M,Other,Male,6,5,0
24,1,F,African-American,Male,1,1,1
25,0,F,Other,Female,0,0,1
27,1,F,African-American,Male,6,39,1
22,0,M,African-American,Female,0,7,0
21,1,M,African-American,Male,0,0,1
22,1,F,African-American,Male,3,319,0
33,0,F,Other,Female,0,0,1
25,0,F,African-American,Male,5,35,0
40,0,M,Other,Male,2,1,1
33,0,M,Other,Female,7,0,0
26,0,F,Other,Male,2,1,1
26,0,F,African-American,Male,3,1,0
40,1,M,African-American,Male,23,31,0
52,1,M,African-American,Male,1,70,1
36,0,F,African-American,Male,2,0,1
24,0,F,Other,Male,0,1,1
35,0,M,African-American,Male,1,1,1
77,0,M,African-American,Male,0,-1,1
21,0,M,African-American,Male,0,0,0
23,0,F,African-American,Female,1,0,1
31,1,F,Other,Male,19,0,0
38,1,M,African-American,Male,16,33,0
20,1,F,African-American,Male,1,1,0
19,1,F,African-American,Male,1,-1,0
29,1,F,African-American,Male,12,0,1
38,1,F,African-American,Female,14,4,0
23,0,M,Other,Male,0,0,0
21,1,F,Other,Male,1,1,0
47,1,F,African-American,Male,4,0,1
30,1,M,African-American,Male,0,0,1
29,1,M,Other,Female,0,1,1
33,1,F,African-American,Male,16,6,0
21,1,M,African-American,Male,0,35,0
38,1,F,African-American,Male,3,4,1
51,0,M,Other,Female,0,0,1
29,1,F,African-American,Male,17,1,0
29,0,M,African-American,Male,0,1,1
25,1,F,African-American,Male,1,1,0
27,1,F,African-American,Male,2,246,0
30,1,F,African-American,Male,5,1,1
55,0,F,African-American,Female,2,1,1
30,0,F,Other,Male,2,63,1
29,0,F,Other,Male,0,0,1
29,0,F,Other,Male,4,0,0
23,1,M,African-American,Male,3,0,1
28,0,F,Other,Male,0,53,0
55,0,F,African-American,Female,1,0,1
56,0,F,Other,Female,3,0,1
30,0,M,African-American,Male,0,0,1
34,1,M,African-American,Male,3,2,1
34,1,F,Other,Female,0,62,1
24,1,M,African-American,Male,1,2,0
22,0,M,African-American,Male,0,3,0
36,1,F,African-American,Male,17,15,0
43,0,M,Other,Male,1,1,1
28,0,F,African-American,Female,1,0,1
37,0,F,Other,Male,0,126,0
42,0,F,Other,Female,0,281,1
43,0,M,African-American,Female,0,1,1
36,1,F,Other,Male,9,19,0
59,0,F,Other,Male,0,1,1
43,1,F,Other,Male,1,69,0
39,1,F,African-American,Male,1,0,1
49,0,M,Other,Male,0,0,1
38,0,M,Other,Female,2,0,1
38,1,F,African-American,Male,9,13,0
29,1,F,African-American,Male,10,23,0
37,0,M,Other,Female,0,0,1
32,0,F,Other,Male,3,120,0
49,0,F,African-American,Male,13,0,1
35,0,F,African-American,Male,0,0,1
42,0,M,African-American,Male,1,7,0
25,1,F,African-American,Male,7,0,0
22,0,M,African-American,Female,0,0,1
21,1,M,African-American,Male,2,21,0
54,0,M,Other,Female,0,0,1
33,1,F,African-American,Male,14,0,0
33,1,F,African-American,Male,4,1,1
47,0,M,Other,Female,0,1,1
21,1,M,African-American,Male,1,0,0
55,0,M,Other,Male,2,13,1
25,1,F,African-American,Male,7,127,0
24,1,F,African-American,Male,14,180,0
38,0,F,African-American,Male,5,1,1
47,0,F,Other,Male,0,2,1
21,1,F,African-American,Female,0,1,0
22,1,F,African-American,Male,0,1,1
50,1,M,Other,Male,1,40,0
46,0,M,African-American,Male,0,0,1
24,0,F,African-American,Male,0,1,1
63,0,F,Other,Male,1,14,1
21,0,F,African-American,Female,2,12,0
26,1,F,African-American,Male,1,0,0
27,0,M,Other,Male,0,1,1
22,1,M,African-American,Male,0,1,0
27,1,F,African-American,Male,9,799,0
23,1,F,African-American,Male,3,1,0
33,1,F,African-American,Male,0,3,1
35,0,F,African-American,Male,9,1,0
28,0,M,African-American,Male,5,1,0
25,0,M,African-American,Male,0,0,0
23,0,F,African-American,Male,2,18,0
49,1,F,Other,Male,5,3,0
54,1,M,African-American,Male,4,78,0
21,0,F,Other,Male,1,1,1
27,1,F,African-American,Male,0,60,0
56,1,M,African-American,Male,3,1,1
28,1,M,Other,Female,6,30,0
27,1,M,Other,Male,0,0,1
40,1,F,Other,Male,4,15,1
40,0,F,Other,Male,1,21,1
26,0,M,African-American,Male,5,1,0
25,0,F,Other,Male,0,0,1
35,0,F,African-American,Male,1,0,1
46,0,F,Other,Female,0,0,1
36,1,F,African-American,Female,5,0,0
