RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0.002839603,61,0,628.5,1.0,20,0,1,0,0.0,1
0.9999999,48,0,0.006589411,4400.0,4,2,0,1,2.0,1
0.411273254,40,0,0.317621853,5600.0,9,0,1,0,0.0,1
0.044526887,56,0,0.484591861,4250.0,13,0,1,0,1.0,1
0.9999999,57,0,0.23826087,2874.0,3,0,1,0,0.0,1
0.013411011,38,0,0.241404535,4100.0,11,0,0,0,2.0,1
0.09854044,59,0,36.0,0.0,2,0,0,0,0.0,1
0.014760604,83,0,0.095880511,4150.0,9,0,0,0,0.0,1
0.9999999,56,0,0.195833869,7776.0,3,0,1,0,4.0,1
0.268656716,31,0,0.094544416,3500.0,2,1,0,0,1.0,1
0.011299623,60,0,0.158892875,1950.0,9,0,0,0,0.0,1
0.002115303,62,0,802.5,1.0,4,0,1,0,0.0,1
0.113747344,49,0,0.3798231,7800.0,10,0,2,0,3.0,1
0.71120017,59,0,0.291733936,6193.0,11,0,0,1,1.0,1
0.0,61,0,0.20214432,8300.0,4,0,1,0,0.0,1
0.144400464,54,0,0.496739333,5366.0,10,0,2,0,0.0,1
0.0,64,0,0.285164062,13500.0,6,0,3,0,1.0,1
0.030527806,76,0,0.182844244,3100.0,8,0,1,0,0.0,1
0.972462026,50,0,0.154880931,5500.0,4,0,0,0,3.0,1
0.783458305,24,0,0.106183635,1600.0,6,0,0,0,0.0,1
0.052571597,57,0,0.59544292,4300.0,4,0,2,0,0.0,1
0.035767476,66,0,0.008767123,5474.0,7,0,0,0,0.0,1
0.9999999,55,0,0.303953238,6500.0,3,0,2,0,0.0,1
0.048966504,67,0,0.020371785,3926.0,4,0,0,0,0.0,1
0.477304539,56,0,0.220199601,12524.0,9,0,1,0,0.0,1
0.112465167,37,0,0.454363651,12500.0,11,0,3,0,0.0,1
0.641712292,39,1,0.31239213,8690.0,15,0,1,0,4.0,1
0.37137217,54,0,0.160732305,6936.0,12,0,0,0,0.0,1
0.001505847,91,0,0.101237345,8000.0,7,0,1,0,1.0,1
